year,price,dividend,earnings,book.to.market.ratio,treasury.bill,aaa.rate,baa.rate,long.term.yield,consumption.wealth.income.ratio,net.equity.expansion,risk.free.rate,inflation,percent.equity.issuing,long.term.rate,corporate.bond.returns,stock.variance,cross.sectional.premium,investment.to.capital.ratio,stock.returns.crsp.vw,stock.returns.crsp.vwx
1984,167.24,7.57,16.64,0.733098376486707,0.0806,0.1213,0.134,0.117,0.0095051272,-0.0271530397076593,0.0994908135134025,0.0394572354234271,0.170737412378991,0.154924979792003,0.168601576991455,0.012883633957,-0.0011276635,0.038907855905592,0.0669004694712352,0.0184214962882916
1985,211.28,7.94,14.61,0.59269268816231,0.071,0.1016,0.1158,0.0956,0.0136863126,-0.0195978152778126,0.0774083957175082,0.0376537928169476,0.176455390546979,0.309711450052542,0.300908897869741,0.00811026960800001,-0.001721356,0.037880298237615,0.320081777330118,0.266153884644187
1986,242.17,8.3,14.48,0.498430865792874,0.0553,0.0849,0.0997,0.0789,0.0016680842,-0.00995595403044277,0.061447184140597,0.0112479719203673,0.16473415536112,0.245212378800556,0.198474772457004,0.015839733547,-0.0022403247,0.034670246559923,0.18065002475309,0.138588565241778
1987,247.08,8.505,17.5,0.50881201549388,0.0577,0.1011,0.1129,0.092,0.0147127061,0.0133418784589731,0.059303055906585,0.0442419914162431,0.150406824960953,-0.0271656845243659,-0.0026759108630926,0.077489058204,-0.0027006902,0.034288025770255,0.0514713009820407,0.0163946405419599
1988,277.72,9.73,23.75,0.465283573968099,0.0807,0.0957,0.1065,0.0918,0.0151529746,-0.0216391555943691,0.0687479772803141,0.0440988367653519,0.114644401178443,0.096665851987302,0.107041209426372,0.019642907706,-0.0022913172,0.034626417451308,0.169508209015041,0.120606744265351
1989,353.4,11.05,22.87,0.390454743571117,0.0763,0.0886,0.0982,0.0816,0.0210097385,-0.0123201635936192,0.0842007318565563,0.0463661612729862,0.0977872384359143,0.180974997531327,0.16231363408277,0.011999926669,-0.0029288342,0.03478043727922,0.313931063088814,0.267450144019272
1990,330.22,12.09,21.34,0.484496859883204,0.0674,0.0905,0.1043,0.0844,0.036349486,-0.001736933622542,0.0775607110619676,0.0608498923266285,0.0783453263859412,0.0616924995474466,0.067827348958827,0.020520876912,-0.0023382328,0.032933665064098,-0.032031357965863,-0.0660374372108744
1991,417.09,12.2,15.97,0.420344417340154,0.0407,0.0831,0.0926,0.073,0.0266603648,0.0316383707632633,0.0550926632613398,0.0305910514521956,0.152766952455183,0.192649399816808,0.198889667662776,0.016815862243,-0.0012532164,0.030480537479835,0.306783185271176,0.266005888371667
1992,435.71,12.38,19.09,0.394109614198953,0.0322,0.0798,0.0881,0.0726,0.0232510283,0.0388164547518132,0.0348609720381083,0.0289587592727925,0.150194881769174,0.0805357963526654,0.0939343373680661,0.008020192119,-0.0011115236,0.032394557636222,0.0773200100715621,0.0460148436394829
1993,466.45,12.58,21.89,0.305267222909008,0.0306,0.0693,0.0769,0.0654,0.0315112683,0.0458527222264818,0.030390243524723,0.0274381999033764,0.144115071813451,0.18234581828597,0.131850039994765,0.006344885731,-0.001012497,0.034181921676829,0.0988631994369622,0.0686940196778529
1994,459.27,13.18,30.6,0.29156830000676,0.056,0.0846,0.091,0.0799,0.0422585226,0.0166568397368696,0.0433005025335842,0.0267092578614567,0.120390284740425,-0.0777707762670656,-0.0576106963335506,0.00846936493700001,-0.00057600688,0.03607910610144,0.0134898768807095,-0.0146777142178707
1995,615.93,13.79,33.96,0.255026382939535,0.0514,0.0682,0.0749,0.0603,0.0284307731,0.0155830237694227,0.0563025306870932,0.02534132175398,0.121240719657063,0.316564928681778,0.272042354652533,0.005775298606,-0.00014660419,0.037067528665846,0.37644392865296,0.342424501472208
1996,740.74,14.9,38.73,0.2073427296955,0.0491,0.072,0.0789,0.0673,0.0290355721,0.0232343480765924,0.0512229327038318,0.033162420225505,0.19866586409042,-0.00918455376842697,0.0140156702761634,0.011885011296,-0.00039675518,0.03938739523436,0.232287102215969,0.205480671138257
1997,970.43,15.49,39.72,0.178800884204059,0.0516,0.0676,0.0732,0.0602,0.0149934538,0.0152869303609638,0.0517988492686183,0.0169991830447036,0.142700116697415,0.158659370852994,0.129494216085763,0.025203847587,-0.00088877898,0.041288659587241,0.336038827346651,0.312734259656117
1998,1229.23,16.2,37.71,0.173611315365501,0.0439,0.0622,0.0723,0.0542,-0.0060700864,0.0198134819756282,0.0488259268203439,0.016104073792363,0.12065860340439,0.130704036874004,0.107555639993961,0.037951507292,-0.0010338728,0.042800696526281,0.293202321557909,0.273932311772591
1999,1469.25,16.69,48.17,0.147167259434962,0.052,0.0755,0.0819,0.0682,-0.0190492805,0.0166377688018016,0.0473818962689181,0.0267892261131983,0.138456050033097,-0.0898988411022563,-0.0745425946346626,0.02913362848,0.000064278,0.042894855164339,0.213496062890964,0.197744045362912
2000,1320.28,16.27,50,0.151851503649205,0.0577,0.0721,0.0802,0.0558,-0.0020950804,-0.00535181654568772,0.0597424433150366,0.033777383196232,0.140989561399017,0.214934372438822,0.128545365283127,0.059994876538,-0.00052485301,0.042964123390977,-0.0833822380217006,-0.0939324292796169
2001,1148.08,15.74,24.69,0.131217845913788,0.0169,0.0677,0.0805,0.0575,0.0062070154,0.0156393369018924,0.0344095340246684,0.0154373185259225,0.0865431157110418,0.0370275224205652,0.106366571816322,0.047486371439,-0.0013361672,0.036503034459445,-0.118897438548228,-0.130679438215581
2002,879.82,16.077,27.59,0.295385895618367,0.0119,0.0621,0.0745,0.0484,0.0042913017,0.0310384918635631,0.0161599948685203,0.0237148884325751,0.0820276579846127,0.178413927605908,0.166415175243986,0.06021677142,-0.0041443054,0.032821655918623,-0.217783544425393,-0.230613259937675
2003,1111.92,17.385,48.74,0.218739864754122,0.009,0.0562,0.066,0.0515,-0.0232674769,0.00739500300738188,0.0101552482155463,0.018755168335193,0.0724230891214716,0.00895939559012238,0.0527255505840436,0.025768664731,,0.033375640292256,0.287151094425173,0.264139312499702
2004,1211.92,19.44,58.55,0.270619242678992,0.0219,0.0547,0.0615,0.0484,-0.0345311879,0.0130463051007891,0.013802407469599,0.032555615843733,0.0782974619176233,0.0849731843933295,0.087211543434518,0.012612337653,,0.034694545371574,0.109835831890287,0.0874065096917655
