year,price,dividend,earnings,book.to.market.ratio,treasury.bill,aaa.rate,baa.rate,long.term.yield,consumption.wealth.income.ratio,net.equity.expansion,risk.free.rate,inflation,percent.equity.issuing,long.term.rate,corporate.bond.returns,stock.variance,cross.sectional.premium,investment.to.capital.ratio,stock.returns.crsp.vw,stock.returns.crsp.vwx
1871,4.74,0.26,0.4,,,,,,,,0.0573367213908049,,,,,,,,,
1872,5.07,0.3,0.43,,,,,,,,0.0718986642562909,,,,,,,,,
1873,4.42,0.33,0.46,,,,,,,,0.0866190390658323,,,,,,,,,
1874,4.54,0.33,0.46,,,,,,,,0.0485442295171346,,,,,,,,,
1875,4.37,0.3,0.36,,,,,,,,0.0438092722204594,,,,,,,,,
1876,3.58,0.3,0.28,,,,,,,,0.0410663304785924,,,,,,,,,
1877,3.25,0.19,0.3,,,,,,,,0.0414619926020302,,,,,,,,,
1878,3.45,0.18,0.31,,,,,,,,0.0381467815712697,,,,,,,,,
1879,4.92,0.2,0.38,,,,,,,,0.0404115021103676,,,,,,,,,
1880,5.84,0.26,0.49,,,,,,,,0.0418766971323044,,,,,,,,,
1881,6.01,0.32,0.44,,,,,,,,0.0416246295419131,,,,,,,,,
1882,5.84,0.32,0.43,,,,,,,,0.0455519989273287,,,,,,,,,
1883,5.34,0.33,0.4,,,,,,,,0.0453985986220331,,,,,,,,,
1884,4.34,0.31,0.31,,,,,,,,0.0416707654962327,,,,,,,,,
1885,5.2,0.24,0.27,,,,,,,,0.0315919296104725,,,,,0.02373890328747,,,,
1886,5.64,0.22,0.33,,,,,,,,0.0377705723425341,,,,,0.01645860214014,,,,
1887,5.27,0.25,0.36,,,,,,,,0.0464932213167703,,,,,0.01829845982459,,,,
1888,5.14,0.23,0.26,,,,,,,,0.0388906336864273,,,,,0.01285060194772,,,,
1889,5.32,0.22,0.3,,,,,,,,0.0386686153050894,,,,,0.00687403752511,,,,
1890,4.6,0.22,0.29,,,,,,,,0.04533864491883,,,,,0.02262105886176,,,,
1891,5.41,0.22,0.34,,,,,,,,0.0432960453667795,,,,,0.01612353170027,,,,
1892,5.51,0.24,0.37,,,,,,,,0.0320466985452697,,,,,0.01088615975763,,,,
1893,4.41,0.25,0.26,,,,,,,,0.0556631851761507,,,,,0.05458439037797,,,,
1894,4.3,0.21,0.16,,,,,,,,0.0226099058191274,,,,,0.01673873834532,,,,
1895,4.32,0.19,0.25,,,,,,,,0.0281754638602514,,,,,0.02868970573088,,,,
1896,4.22,0.18,0.21,,,,,,,,0.0469870618581403,,,,,0.04643323450852,,,,
1897,4.75,0.18,0.31,,,,,,,,0.026659968000421,,,,,0.0227515174437,,,,
1898,5.65,0.2,0.35,,,,,,,,0.0294411854086873,,,,,0.03242440785725,,,,
1899,6.02,0.21,0.48,,,,,,,,0.0324138819419666,,,,,0.02709654190162,,,,
1900,6.87,0.3,0.48,,,,,,,,0.0344398197026386,,,,,0.01716011439899,,,,
1901,7.95,0.32,0.5,,,,,,,,0.0335568134991722,,,,,0.03729298657158,,,,
1902,8.05,0.33,0.63,,,,,,,,0.0391840449788313,,,,,0.0133930277132,,,,
1903,6.57,0.35,0.53,,,,,,,,0.0440457169295431,,,,,0.02474558190041,,,,
1904,8.25,0.31,0.49,,,,,,,,0.0328651191902331,,,,,0.01266884004783,,,,
1905,9.54,0.33,0.67,,,,,,,,0.034593487848611,,,,,0.01563700540691,,,,
1906,9.84,0.4,0.76,,,,,,,,0.0458760274211673,,,,,0.01709192389358,,,,
1907,6.57,0.44,0.66,,,,,,,,0.0517253421848234,,,,,0.04797905727385,,,,
1908,9.03,0.4,0.58,,,,,,,,0.0343423474579091,,,,,0.02005210937404,,,,
1909,10.3,0.44,0.76,,,,,,,,0.0308549916491394,,,,,0.01003485566272,,,,
1910,9.05,0.47,0.73,,,,,,,,0.0400087128488644,,,,,0.01890777505037,,,,
1911,9.11,0.47,0.59,,,,,,,,0.0312903890228458,,,,,0.00778357376721,,,,
1912,9.38,0.48,0.7,,,,,,,,0.0376018730977348,,,,,0.00645429549592,,,,
1913,8.04,0.48,0.63,,,,,,,,0.0450163425776369,0.0204081632653061,,,,0.01067534340609,,,,
1914,7.35,0.42,0.52,,,,,,,,0.0380194691581219,0.00963608420374973,,,,0.01160055855279,,,,
1915,9.48,0.43,0.88,,,,,,,,0.0261741390421821,0.0195142948358646,,,,0.0191049431068,,,,
1916,9.8,0.56,1.53,,,,,,,,0.0259531726175912,0.115354582736996,,,,0.01783247429426,,,,
1917,6.8,0.69,1.28,,,,,,,,0.0375587535555853,0.182506984433655,,,,0.03556156759203,,,,
1918,7.9,0.57,0.99,,,,,,,,0.0475307608605147,0.202771442427555,,,,0.01536125796346,,,,
1919,8.92,0.53,0.93,,,0.0573,0.0777,0.049,,,0.0435977552723697,0.145753222442875,,,,0.02454079230152,,,,
1920,6.81,0.51,0.8,,0.0588,0.0626,0.0856,0.054,,,0.0541100519543805,0.0212383223882171,,,,0.03340779962038,,,,
1921,7.31,0.46,0.29,0.596534653465347,0.039,0.055,0.0761,0.0447,,,0.0481852661342905,-0.1078699548993,,,,0.01901912035538,,,,
1922,8.78,0.51,0.69,0.472649485586228,0.0365,0.0508,0.0702,0.0432,,,0.0346662675665424,-0.0254839021753211,,,,0.01471310118995,,,,
1923,8.55,0.53,0.98,0.540201005025126,0.0388,0.0509,0.0738,0.0435,,,0.0392439772218308,0.0256188542858033,,,,0.0156969065127,,,,
1924,10.16,0.55,0.93,0.458883080242304,0.0257,0.0495,0.0646,0.0396,,,0.0270511019717481,-0.00199317365208185,,,,0.01072156165126,,,,
1925,12.46,0.6,1.25,0.389378271415805,0.0351,0.0485,0.0615,0.038,,,0.0302197395853043,0.0383283257361995,,,,0.01352850555316,,,,
1926,13.49,0.69,1.24,0.44147582697201,0.0307,0.0468,0.0568,0.0354,,0.0756585185859186,0.0322813991085877,-0.0150973836945688,,0.0776952394616015,0.0737444051490779,0.01848586987547,,,0.121939413297103,0.0656407176534166
1927,17.66,0.77,1.11,0.374688589935227,0.0317,0.0446,0.0532,0.0316,,0.0691072642837804,0.0309099605292477,-0.0211756023402708,0.26551235442726,0.0894486276224968,0.0744363693933998,0.01127336397079,,,0.35796543080361,0.293718734449884
1928,24.35,0.85,1.38,0.259666666666667,0.0426,0.0461,0.056,0.034,,0.0260785259719694,0.0396169307095352,-0.0097931642568132,0.497429287084914,0.000827246142436566,0.0284115620786818,0.02195100289599,,,0.389665575105195,0.334419862346937
1929,21.45,0.97,1.61,0.338457823567289,0.0303,0.0467,0.0595,0.034,,0.165812105550496,0.0441174919207045,0.00182971382102615,0.720592940172763,0.0340994673898469,0.0327300406531015,0.13337838833823,,,-0.0760399439139976,-0.109361421820424
